,BLDG/RM,COURSE,CREDIT,CRN,DAY/TIME,FROM / TO,INSTR.,SECT,STATUS,SUBJ
0,SEE DEPT,Acting II,3.00,24358,,01/14/13 - 04/29/13,"Logan, G",10,CLOSED,"ACA
"
1,SEE DEPT,Topics:Classical Drama/Cult II,2.00,24359,,01/14/13 - 04/29/13,"Jacobson, L",10,CLOSED,"ACA
"
2,SEE DEPT,Text,2.00,24360,,01/14/13 - 04/29/13,"Logan, G",10,CLOSED,"ACA
"
3,SEE DEPT,Voice and Speech II,3.00,24361,,01/14/13 - 04/29/13,"Logan, G",10,CLOSED,"ACA
"
4,SEE DEPT,Movement II,2.00,24362,,01/14/13 - 04/29/13,"Logan, G",10,CLOSED,"ACA
"
5,SEE DEPT,Alexander Technique II,2.00,24363,,01/14/13 - 04/29/13,"Logan, G",10,CLOSED,"ACA
"
6,SEE DEPT,Stage Combat II,2.00,24364,,01/14/13 - 04/29/13,"Logan, G",10,CLOSED,"ACA
"
7,SEE DEPT,Practicum IV,3.00,24365,,01/14/13 - 04/29/13,"Logan, G",10,CLOSED,"ACA
"
8,,Selected Topics,1.00,26217,,01/14/13 - 04/29/13,,10,OPEN,"ACA
"
9,FNGR 220,Intro Financial Accounting,3.00,21699,TR09:35AM - 10:50AM,01/14/13 - 04/29/13,"Linsley, C",10,OPEN,ACCY
10,DUQUES 254,Intro Financial Accounting,3.00,20002,TR11:10AM - 12:25PM,01/14/13 - 04/29/13,"Linsley, C",11,OPEN,ACCY
11,1957 E 214,Intro Financial Accounting,3.00,21254,TR02:20PM - 03:35PM,01/14/13 - 04/29/13,"Mallek, J",12,OPEN,ACCY
12,FNGR 220,Intro Managerial Accounting,3.00,20003,MW11:10AM - 12:25PM,01/14/13 - 04/29/13,"Mallek, J",10,WAITLIST,ACCY
13,1957 E 112,Intro Managerial Accounting,3.00,20004,TR09:35AM - 10:50AM,01/14/13 - 04/29/13,"Tan, L",11,OPEN,ACCY
14,DUQUES 151,Intro Managerial Accounting,3.00,20005,TR11:10AM - 12:25PM,01/14/13 - 04/29/13,"Ray, K",12,OPEN,ACCY
15,1957 E 112,Intro Managerial Accounting,3.00,21252,TR11:10AM - 12:25PM,01/14/13 - 04/29/13,"Tan, L",13,WAITLIST,ACCY
16,DUQUES 255,Intro Managerial Accounting,3.00,21386,TR02:20PM - 03:35PM,01/14/13 - 04/29/13,"Ray, K",14,OPEN,ACCY
17,1957 E 112,Intro Managerial Accounting,3.00,21727,TR02:20PM - 03:35PM,01/14/13 - 04/29/13,"Tan, L",15,OPEN,ACCY
18,FNGR 222,Intro Managerial Accounting,3.00,25345,TR03:45PM - 05:00PM,01/14/13 - 04/29/13,"Ray, K",16,OPEN,ACCY
19,DUQUES 359,Intermediate Accounting 2,3.00,21701,TR03:45PM - 05:00PM,01/14/13 - 04/29/13,"Tarpley, R",10,OPEN,ACCY
20,DUQUES 251,Advanced Financial&Tax; Accting,3.00,21566,TR02:20PM - 03:35PM,01/14/13 - 04/29/13,"Smith, K",10,OPEN,ACCY
21,DUQUES 255,Financial Statement Analysis,3.00,22199,TR11:10AM - 12:25PM,01/14/13 - 04/29/13,"Jones, C",10,OPEN,ACCY
22,FNGR 221,Business Law: Enterprise Org,3.00,20006,TR09:35AM - 10:50AM,01/14/13 - 04/29/13,"Moersen, L",10,OPEN,ACCY
23,PHIL B156,Financial Accounting Capstone,3.00,21702,TR03:45PM - 05:00PM,01/14/13 - 04/29/13,"Jones, C",10,OPEN,ACCY
24,,Econometrics for Biz&PubPolicy;,3.00,27483,,01/14/13 - 04/29/13,,11,CANCELLED,ACCY
25,,Fund of Fina Decision-Making,3.00,27347,,01/14/13 - 04/29/13,,80,CANCELLED,ACCY
26,,Fund of Fina Decision-Making,3.00,27868,,01/14/13 - 04/29/13,,80,CANCELLED,FINA
27,,Independent Study,3.00,20865,,01/14/13 - 04/29/13,,10,OPEN,ACCY
28,FNGR 209,Financial Accounting,3.00,25641,W07:10PM - 09:40PM,01/14/13 - 04/29/13,"Singleton, L",80,CLOSED,ACCY
29,FNGR 209,Financial Accounting,3.00,23678,W07:10PM - 09:40PM,01/14/13 - 04/29/13,"Singleton, L",80,CLOSED,MBAD
30,FNGR 208,Intermediate Accounting I,3.00,26159,T07:10PM - 09:40PM,01/14/13 - 04/29/13,"Xue, Y",10,CLOSED,ACCY
31,MPA 208,Intro: Africana Studies,3.00,27072,TR02:20PM - 03:35PM,01/14/13 - 04/29/13,"Kristensen, R",10,OPEN,AFST
32,P 201,Food Politics,3.00,24805,F01:00PM - 04:00PM,01/14/13 - 04/29/13,"Palmer, P",10,OPEN,AMST
33,1957 E 113,Modern Amer Cultural History,3.00,23636,TR09:35AM - 10:25AM,01/14/13 - 04/29/13,"Kosek, J",80,OPEN,AMST
34,1957 E 113,Modern Amer Cultural History,3.00,23701,TR09:35AM - 10:25AM,01/14/13 - 04/29/13,"Kosek, J",80,OPEN,HIST
35,P 201,Discussion,0.00,23637,R11:10AM - 12:00PM,01/14/13 - 04/29/13,"Kosek, J",81,OPEN,AMST
36,GELM 609,Discussion,0.00,23638,R11:10AM - 12:00PM,01/14/13 - 04/29/13,"Kosek, J",82,OPEN,AMST
37,MON B32,Discussion,0.00,23639,R12:45PM - 01:35PM,01/14/13 - 04/29/13,"Kosek, J",83,OPEN,AMST
38,PHIL 109,Discussion,0.00,23640,R12:45PM - 01:35PM,01/14/13 - 04/29/13,"Kosek, J",84,OPEN,AMST
39,FNGR 208,Discussion,0.00,24806,R02:20PM - 03:10PM,01/14/13 - 04/29/13,"Kosek, J",85,OPEN,AMST
40,ROME 206,Discussion,0.00,24810,R02:20PM - 03:10PM,01/14/13 - 04/29/13,"Kosek, J",86,OPEN,AMST
41,DUQUES 362,Discussion,0.00,25918,R03:55PM - 04:45PM,01/14/13 - 04/29/13,"Kosek, J",87,OPEN,AMST
42,BELL 105,Discussion,0.00,25919,R03:55PM - 04:45PM,01/14/13 - 04/29/13,"Kosek, J",88,OPEN,AMST
43,GELM B04,"Wash DC:Hist,Culture,Politics",3.00,27106,MF12:45PM - 02:00PM,01/14/13 - 04/29/13,"Klemek, C; Clement, B",82,OPEN,AMST
44,GELM B04,"Wash DC: Hist,Culture,Politics",3.00,27076,MF12:45PM - 02:00PM,01/14/13 - 04/29/13,"Klemek, C; Clement, B",82,OPEN,HIST
45,GOV 104,Discussion,0.00,27108,W02:20PM - 03:10PM,01/14/13 - 04/29/13,"Klemek, C; Clement, B",80,OPEN,AMST
46,MON 114,Discussion,0.00,27110,W03:55PM - 04:45PM,01/14/13 - 04/29/13,"Clement, B; Klemek, C",81,OPEN,AMST
47,1957 E 213,Freedom in Am. Thought/PopCult,3.00,26363,MW02:20PM - 03:10PM,01/14/13 - 04/29/13,"Anker, E",80,OPEN,AMST
48,1957 E 213,Freedom in Am. Thought/PopCult,3.00,26364,MW02:20PM - 03:10PM,01/14/13 - 04/29/13,"Anker, E",80,OPEN,"PSC
"
49,FNGR 222,Discussion,0.00,26365,W09:35AM - 10:25AM,01/14/13 - 04/29/13,"Anker, E",81,OPEN,AMST
50,DUQUES 259,Discussion,0.00,26366,W09:35AM - 10:25AM,01/14/13 - 04/29/13,"Anker, E",82,OPEN,AMST
51,FNGR 208,Discussion,0.00,26367,W11:10AM - 12:00PM,01/14/13 - 04/29/13,"Anker, E",83,OPEN,AMST
52,1957 E 111,Discussion,0.00,26368,W11:10AM - 12:00PM,01/14/13 - 04/29/13,"Anker, E",84,OPEN,AMST
53,BELL 105,Discussion,0.00,26369,W12:45PM - 01:35PM,01/14/13 - 04/29/13,"Anker, E",85,OPEN,AMST
54,BELL 106,Discussion,0.00,26370,W12:45PM - 01:35PM,01/14/13 - 04/29/13,"Anker, E",86,OPEN,AMST
55,PHIL B156,Varieties of Feminist Theory,3.00,24814,MW02:20PM - 03:35PM,01/14/13 - 04/29/13,"Nash, J",80,CLOSED,AMST
56,PHIL B156,Varieties of Feminist Theory,3.00,21119,MW02:20PM - 03:35PM,01/14/13 - 04/29/13,"Nash, J",80,CLOSED,WSTU
57,DUQUES 151,Sexuality in US History,3.00,26394,WF12:45PM - 01:35PM,01/14/13 - 04/29/13,"Heap, C",80,OPEN,AMST
58,DUQUES 151,Sexuality in US Cultural Hist,3.00,26345,WF12:45PM - 01:35PM,01/14/13 - 04/29/13,"Heap, C",80,OPEN,WSTU
59,DUQUES 151,Sexuality in US Cultural Hist,3.00,26395,WF12:45PM - 01:35PM,01/14/13 - 04/29/13,"Heap, C",80,OPEN,HIST
60,DUQUES 251,Discussion,0.00,26396,F09:35AM - 10:25AM,01/14/13 - 04/29/13,"Heap, C",81,OPEN,AMST
61,FNGR 209,Discussion,0.00,26397,F11:10AM - 12:00PM,01/14/13 - 04/29/13,"Heap, C",82,OPEN,AMST
62,1957 E 111,Discussion,0.00,26399,R02:20PM - 03:10PM,01/14/13 - 04/29/13,"Heap, C",83,OPEN,AMST
63,BELL 106,Discussion,0.00,26400,R03:55PM - 04:45PM,01/14/13 - 04/29/13,"Heap, C",84,OPEN,AMST
64,MPA 309,US-MiddleEastCulturlEncounters,3.00,26406,TR02:20PM - 03:10PM,01/14/13 - 04/29/13,"McAlister, M",80,OPEN,AMST
65,MPA 309,US-MiddleEastCulturlEncounters,3.00,26407,TR02:20PM - 03:10PM,01/14/13 - 04/29/13,"McAlister, M",80,OPEN,HIST
66,1957 E 308,Discussion,0.00,26409,T11:10AM - 12:00PM,01/14/13 - 04/29/13,"McAlister, M",82,OPEN,AMST
67,1957 E 308,Discussion,0.00,26410,T12:45PM - 01:35PM,01/14/13 - 04/29/13,"McAlister, M",83,OPEN,AMST
68,1957 E 309,Discussion,0.00,26411,T12:45PM - 01:35PM,01/14/13 - 04/29/13,"McAlister, M",84,OPEN,AMST
69,1957 E 308,Discussion,0.00,26408,T09:35AM - 10:25AM,01/14/13 - 04/29/13,"McAlister, M",85,OPEN,AMST
70,DUQUES 259,The African American Exprience,3.00,24816,TR03:55PM - 04:45PM,01/14/13 - 04/29/13,"Warren, C",10,OPEN,AMST
71,DUQUES 362,Discussion,0.00,24818,M02:20PM - 03:10PM,01/14/13 - 04/29/13,"Warren, C",30,OPEN,AMST
72,DUQUES 361,Discussion,0.00,24817,M12:45PM - 01:35PM,01/14/13 - 04/29/13,"Warren, C",31,OPEN,AMST
73,1957 E B12,SciencePolitcs&SocityinModAmer;,3.00,26416,MW11:10AM - 12:00PM,01/14/13 - 04/29/13,"Cohen-Cole, J",80,OPEN,AMST
74,1957 E B12,SciencePolitcs&SocityInModAmer;,3.00,26417,MW11:10AM - 12:00PM,01/14/13 - 04/29/13,"Cohen-Cole, J",80,OPEN,HIST
75,DUQUES 359,Discussion,0.00,26418,W12:45PM - 01:35PM,01/14/13 - 04/29/13,"Cohen-Cole, J",81,OPEN,AMST
76,DUQUES 259,Discussion,0.00,26419,W02:20PM - 03:10PM,01/14/13 - 04/29/13,"Cohen-Cole, J",82,OPEN,AMST
77,DUQUES 362,Discussion,0.00,26420,W02:20PM - 03:10PM,01/14/13 - 04/29/13,"Cohen-Cole, J",83,OPEN,AMST
78,BELL 105,Discussion,0.00,26421,W03:55PM - 04:45PM,01/14/13 - 04/29/13,"Cohen-Cole, J",84,OPEN,AMST
79,SMTH 114,Amer Architecture:1860-Present,3.00,24828,MW12:45PM - 02:00PM,01/14/13 - 04/29/13,"Longstreth, R",80,OPEN,AMST
80,SMTH 114,AmericanArch:1860 to Present,3.00,24829,MW12:45PM - 02:00PM,01/14/13 - 04/29/13,"Longstreth, R",80,OPEN,"AH
	"
81,PHIL 109,Women in the United States,3.00,23641,TR02:20PM - 03:35PM,01/14/13 - 04/29/13,"Harrison, C",80,OPEN,AMST
82,PHIL 109,Women in US from 1877-Present,3.00,23702,TR02:20PM - 03:35PM,01/14/13 - 04/29/13,"Harrison, C",80,OPEN,HIST
83,PHIL 109,"Women in the US, 1877-Present",3.00,23573,TR02:20PM - 03:35PM,01/14/13 - 04/29/13,"Harrison, C",80,OPEN,WSTU
84,FNGR 220,Historical Archaeology,3.00,26806,M03:30PM - 06:00PM,01/14/13 - 04/29/13,"Cressey, P",80,OPEN,AMST
85,FNGR 220,Historical Archaeology,3.00,26647,M03:30PM - 06:00PM,01/14/13 - 04/29/13,"Cressey, P",80,OPEN,ANTH
86,1957 E 309,Critiquing Culture,3.00,24849,TR11:10AM - 12:25PM,01/14/13 - 04/29/13,"McAlister, M",10,CLOSED,AMST
87,1957 E 311,Examining America,3.00,24848,TR12:45PM - 02:00PM,01/14/13 - 04/29/13,"Pena, E",10,CLOSED,AMST
88,MPA B07,Jews & US Political Tradition,3.00,26787,TR12:45PM - 02:00PM,01/14/13 - 04/29/13,"Strauss, L",80,OPEN,AMST
89,MPA B07,Jews & US Political Tradition,3.00,25570,TR12:45PM - 02:00PM,01/14/13 - 04/29/13,"Strauss, L",80,OPEN,HIST
90,GELM B02ANDGELM 608,Asian Am. Cultural Studies,3.00,27381,T03:45PM - 05:00PMANDR03:45PM - 05:00PM,01/14/13 - 04/29/13,"Chu, P",81,OPEN,AMST
91,GELM B02ANDGELM 608,Asian Am. Cultural Studies,3.00,25768,T03:45PM - 05:00PMANDR03:45PM - 05:00PM,01/14/13 - 04/29/13,"Chu, P",80,OPEN,ENGL
92,ROME 771,Love&LonginginAsianPacifCultur;,3.00,27382,W12:45PM - 03:15PM,01/14/13 - 04/29/13,"Daiya, K",80,OPEN,AMST
93,ROME 771,Love&LonginginAsianPacifCultur;,3.00,25767,W12:45PM - 03:15PM,01/14/13 - 04/29/13,"Chu, P; Daiya, K",10,OPEN,ENGL
94,,Independent Study,3.00,24751,,01/14/13 - 04/29/13,"Heap, C",10,OPEN,AMST
95,OM 305,Epidemics in American History,3.00,27327,MW12:45PM - 02:00PM,01/14/13 - 04/29/13,"Gamble, V",80,OPEN,AMST
96,OM 305,Epidemics in American History,3.00,27328,MW12:45PM - 02:00PM,01/14/13 - 04/29/13,"Gamble, V",82,OPEN,HONR
97,OM 305,Epidemics in American History,3.00,27346,MW12:45PM - 02:00PM,01/14/13 - 04/29/13,"Gamble, V",81,OPEN,HIST
98,P 201,Cultural Theory & Amer Studies,3.00,26805,R12:00PM - 01:50PM,01/14/13 - 04/29/13,"Warren, C",10,OPEN,AMST
99,ROSS 227,Human Embryology,3.00,23086,TR12:45PM - 02:00PM,01/14/13 - 04/29/13,"Johnson, K",10,OPEN,ANAT
100,ROSS 227,Human Microscopic Anatomy,3.00,23938,TR09:45AM - 11:00AM,01/14/13 - 04/29/13,"Krum, J",50,OPEN,ANAT
101,ROSS 227,Human Functional Neuroanatomy,3.00,23085,TR11:15AM - 12:30PM,01/14/13 - 04/29/13,"Bohn, R",10,OPEN,ANAT
102,ROSS 227ANDROSS 227,Human Gross Anatomy,3.00,21778,TR02:20PM - 03:35PMANDR03:40PM - 05:00PM,01/14/13 - 04/29/13,"Walsh, R",80,OPEN,ANAT
103,ROSS 227ANDROSS 227,Human Gross Anatomy,3.00,25903,TR02:20PM - 03:35PMANDR03:40PM - 05:00PM,01/14/13 - 04/29/13,"Walsh, R",80,OPEN,BISC
104,,Spec Topics-Stem Cell Biology,1.00 TO   3.00,22003,,01/14/13 - 04/29/13,"Moody, S",10,OPEN,ANAT
105,,Human Variation,1.00,20014,,01/14/13 - 04/29/13,,80,CANCELLED,ANAT
106,,Hormones and Behavior,3.00,26796,,01/14/13 - 04/29/13,,10,CANCELLED,ANTH
107,FNGR 103,Biological Anthropology,4.00,21687,MW12:45PM - 02:00PM,01/14/13 - 04/29/13,"Sherwood, C",10,OPEN,ANTH
108,2020 K 16,Laboratory,0.00,21688,W06:10PM - 08:00PM,01/14/13 - 04/29/13,"Sherwood, C",30,CLOSED,ANTH
109,2020 K 16,Laboratory,0.00,21689,W08:10PM - 10:00PM,01/14/13 - 04/29/13,"Sherwood, C",31,CLOSED,ANTH
110,2020 K 16,Laboratory,0.00,21690,R08:00AM - 09:50AM,01/14/13 - 04/29/13,"Wellens, K; Sherwood, C",32,CLOSED,ANTH
111,2020 K 16,Laboratory,0.00,21691,R10:00AM - 11:50AM,01/14/13 - 04/29/13,"Wellens, K; Sherwood, C",33,CLOSED,ANTH
112,2020 K 16,Laboratory,0.00,21766,R12:00PM - 01:50PM,01/14/13 - 04/29/13,"Turcotte, C; Sherwood, C",34,CLOSED,ANTH
113,2020 K 16,Laboratory,0.00,21812,R02:00PM - 03:50PM,01/14/13 - 04/29/13,"Turcotte, C; Sherwood, C",35,CLOSED,ANTH
114,2020 K 16,Laboratory,0.00,21813,R04:10PM - 06:00PM,01/14/13 - 04/29/13,"McGrath, K; Sherwood, C",36,CLOSED,ANTH
115,2020 K 16,Laboratory,0.00,21908,R06:10PM - 08:00PM,01/14/13 - 04/29/13,"Sherwood, C; Miller, J",37,CLOSED,ANTH
116,2020 K 16,Laboratory,0.00,23463,R08:10PM - 10:00PM,01/14/13 - 04/29/13,"Miller, J; Sherwood, C",38,CLOSED,ANTH
117,2020 K 16,Laboratory,0.00,23464,F08:00AM - 09:50AM,01/14/13 - 04/29/13,"Sherwood, C; McGrath, K",39,OPEN,ANTH
118,2020 K 16,Laboratory,0.00,24035,F10:00AM - 11:50AM,01/14/13 - 04/29/13,"Bisaro, R; Sherwood, C",40,CLOSED,ANTH
119,2020 K 16,Laboratory,0.00,24054,F12:00PM - 01:50PM,01/14/13 - 04/29/13,"Bisaro, R; Sherwood, C; Bobe, R; Kern, M",41,CLOSED,ANTH
120,FNGR 108ANDFNGR 103,Sociocultural Anthropology,3.00,20035,W12:45PM - 01:35PMANDF12:45PM - 01:35PM,01/14/13 - 04/29/13,"Ahmad, A",10,OPEN,ANTH
121,FNGR 220,Discussion,0.00,20036,W02:20PM - 03:10PM,01/14/13 - 04/29/13,"Samuels, C; Ahmad, A",30,CLOSED,ANTH
122,BELL 106,Discussion,0.00,20621,W03:55PM - 04:45PM,01/14/13 - 04/29/13,"Samuels, C; Ahmad, A",31,OPEN,ANTH
123,BELL 106,Discussion,0.00,20037,W05:00PM - 05:50PM,01/14/13 - 04/29/13,"Marroquin, C; Ahmad, A",32,OPEN,ANTH
124,DUQUES 259,Discussion,0.00,21685,R09:35AM - 10:25AM,01/14/13 - 04/29/13,"Ahmad, A",33,OPEN,ANTH
125,DUQUES 361,Discussion,0.00,23010,R09:35AM - 10:25AM,01/14/13 - 04/29/13,"Ahmad, A; Marroquin, C",34,OPEN,ANTH
126,2020 K 14,Discussion,0.00,23437,R11:10AM - 12:00PM,01/14/13 - 04/29/13,"Marroquin, C; Ahmad, A",35,CLOSED,ANTH
127,DUQUES 362,Discussion,0.00,24683,R02:20PM - 03:10PM,01/14/13 - 04/29/13,"Ahmad, A; Samuels, C",36,CLOSED,ANTH
128,MON 451,Discussion,0.00,24684,R03:55PM - 04:45PM,01/14/13 - 04/29/13,"Ahmad, A",37,OPEN,ANTH
129,1957 E B12,Archaeology,3.00,20038,WF09:35AM - 10:50AM,01/14/13 - 04/29/13,"Johnston, S",10,OPEN,ANTH
130,DUQUES 362,Discussion,0.00,25097,M09:35AM - 10:25AM,01/14/13 - 04/29/13,"Shore, D; Johnston, S",30,OPEN,ANTH
131,DUQUES 361,Discussion,0.00,25099,T03:35PM - 04:45PM,01/14/13 - 04/29/13,"Johnston, S; Strauss, S",31,OPEN,ANTH
132,GOV 104,Discussion,0.00,25302,T05:00PM - 05:50PM,01/14/13 - 04/29/13,"Johnston, S; Strauss, S",32,OPEN,ANTH
133,DUQUES 362,Discussion,0.00,25101,F11:10AM - 12:00PM,01/14/13 - 04/29/13,"Johnston, S; Shore, D",33,OPEN,ANTH
134,DUQUES 362,Discussion,0.00,25103,F12:45PM - 01:35PM,01/14/13 - 04/29/13,"Shore, D; Johnston, S",34,OPEN,ANTH
135,FNGR 103,Language in Culture & Society,3.00,20039,TR09:35AM - 10:25AM,01/14/13 - 04/29/13,"Dent, A",10,OPEN,ANTH
136,DUQUES 362,Discussion,0.00,20040,R08:00AM - 08:50AM,01/14/13 - 04/29/13,"Chandras, J; Dent, A",30,CLOSED,ANTH
137,DUQUES 361,Discussion,0.00,20862,R02:20PM - 03:10PM,01/14/13 - 04/29/13,"Dent, A",31,CLOSED,ANTH
138,MON 110,Discussion,0.00,21539,R03:55PM - 04:45PM,01/14/13 - 04/29/13,"Chandras, J; Dent, A",32,OPEN,ANTH
139,1957 E 315,Discussion,0.00,20041,R03:55PM - 04:45PM,01/14/13 - 04/29/13,"Dent, A; Ahmann, C",33,CLOSED,ANTH
140,1957 E 315,Discussion,0.00,21767,R05:00PM - 05:50PM,01/14/13 - 04/29/13,"Ahmann, C; Dent, A",34,CLOSED,ANTH
141,MON 451,Discussion,0.00,21903,R05:00PM - 05:50PM,01/14/13 - 04/29/13,"Dent, A; Chandras, J",35,OPEN,ANTH
142,COR 106ANDCOR 111,Anth ofGender:Cross Cult Persp,3.00,21540,W09:35AM - 10:50AMANDF09:35AM - 10:50AM,01/14/13 - 04/29/13,"Ahmad, A",80,OPEN,ANTH
143,COR 106ANDCOR 111,Anth ofGender:Cross Cult Persp,3.00,21544,W09:35AM - 10:50AMANDF09:35AM - 10:50AM,01/14/13 - 04/29/13,"Ahmad, A",80,OPEN,WSTU
144,PHIL B120,Intro to Ethnomusicology,3.00,25115,TR11:10AM - 12:25PM,01/14/13 - 04/29/13,"Lornell, C",80,CLOSED,ANTH
145,PHIL B120,Intro to Ethnomusicology,3.00,21961,TR11:10AM - 12:25PM,01/14/13 - 04/29/13,"Lornell, C",80,CLOSED,"MUS
"
146,PHIL B120,Intro to Ethnomusicology,3.00,23050,TR11:10AM - 12:25PM,01/14/13 - 04/29/13,"Lornell, C",80,CLOSED,"MUS
"
147,DUQUES 259,Human Functional Anatomy,3.00,26639,TR02:20PM - 03:35PM,01/14/13 - 04/29/13,"McFarlin, S",10,OPEN,ANTH
148,SEE DEPT,Forensic Anthropology Lab,2.00,20730,M05:10PM - 07:00PM,01/14/13 - 04/29/13,"Ubelaker, D",10,OPEN,ANTH
149,SEE DEPT,Forensic Anthropology Lab,2.00,22104,T05:10PM - 07:00PM,01/14/13 - 04/29/13,"Ubelaker, D",11,CLOSED,ANTH
150,DUQUES 152,Human Variation,1.00,20042,R05:00PM - 05:50PM,01/14/13 - 04/29/13,"Ubelaker, D",10,OPEN,ANTH
151,SEE DEPT,Methods in Biological Anth,3.00,24279,R05:30PM - 08:00PM,01/14/13 - 04/29/13,"Tocheri, M",80,OPEN,ANTH
152,SEE DEPT,Methods in Biological Anth,3.00,27513,R05:30PM - 08:00PM,01/14/13 - 04/29/13,"Tocheri, M",80,OPEN,ANTH
153,1957 E B12,Development Anthropology,3.00,22035,TR12:45PM - 02:00PM,01/14/13 - 04/29/13,"Dhaka-Kintgen, U",10,OPEN,ANTH
154,FNGR 209,Psychological Anthropology,3.00,26640,TR02:20PM - 03:35PM,01/14/13 - 04/29/13,"Grinker, R",10,OPEN,ANTH
155,FNGR 208,"Illness, Healing, and Culture",3.00,21814,TR09:35AM - 10:50AM,01/14/13 - 04/29/13,"Myers, N",10,OPEN,ANTH
156,FNGR 209,"Politics,Ethnicity&Nationalism;",3.00,26641,WF09:35AM - 10:50AM,01/14/13 - 04/29/13,"Wortham, E",10,OPEN,ANTH
157,FNGR 221ANDDUQUES 251,Art and Culture,3.00,26642,W11:10AM - 12:25PMANDF12:45PM - 02:00PM,01/14/13 - 04/29/13,"Johnston, S",10,OPEN,ANTH
158,GOV 102AND2020 K 26,Human Rights and Ethics,3.00,22849,M03:45PM - 05:00PMANDW03:45PM - 05:00PM,01/14/13 - 04/29/13,"Shepherd, R",10,OPEN,ANTH
159,1776 G 105,Human Rights and Ethics,3.00,23820,W12:45PM - 03:15PM,01/14/13 - 04/29/13,"Vourlides, E; Feldman, I",10,OPEN,ANTH
160,OM 312,Methods in Sociocultural Anth,3.00,23956,W06:10PM - 08:00PM,01/14/13 - 04/29/13,"Dhaka-Kintgen, U",80,CLOSED,ANTH
161,OM 312,Methods in Sociocultural Anth.,3.00,25915,W06:10PM - 08:00PM,01/14/13 - 04/29/13,"Dhaka-Kintgen, U",80,OPEN,ANTH
162,1776 G 101,Analytical Mechanics I,0.00 TO   3.00,22573,TR02:20PM - 03:10PM,01/14/13 - 04/29/13,"Haque, M",10,OPEN,APSC
163,MON 351,Recitation,0.00,24031,W05:10PM - 07:00PM,01/14/13 - 04/29/13,"Haque, M",30,OPEN,APSC
164,MPA 310,Analytical Mechanics II,3.00,20046,WF09:35AM - 10:25AM,01/14/13 - 04/29/13,"Leftwich, M",10,OPEN,APSC
165,PHIL B156,Recitation,0.00,24068,F11:10AM - 01:00PM,01/14/13 - 04/29/13,,30,OPEN,APSC
166,MON 115,Engineering Analysis I,3.00,20047,MW12:45PM - 02:00PM,01/14/13 - 04/29/13,"Haque, M",10,OPEN,APSC
167,ROME 201,Engineering Analysis II,3.00,20048,WF11:10AM - 12:25PM,01/14/13 - 04/29/13,"Della Torre, E",10,OPEN,APSC
168,ROME 206,Engineering Analysis III,3.00,20049,MW12:45PM - 02:00PM,01/14/13 - 04/29/13,"Blackford, J",10,OPEN,APSC
169,1776 G 101,Engineering Analysis III,3.00,20050,TR12:45PM - 02:00PM,01/14/13 - 04/29/13,"Schrader, P",11,OPEN,APSC
170,1776 G 143,Engineering Analysis III,3.00,25486,T06:10PM - 08:40PM,01/14/13 - 04/29/13,"Blackford, J",80,CLOSED,APSC
171,1776 G 143,Uncertainty Analysis for Engin,3.00,26304,T06:10PM - 08:40PM,01/14/13 - 04/29/13,"Blackford, J",80,OPEN,EMSE
172,COR 111,Analytical Methods in Eng II,3.00,20586,M06:10PM - 08:40PM,01/14/13 - 04/29/13,"Liang, C",10,OPEN,APSC
173,OM 312AND1957 E B14,Beginning Arabic II,4.00,21114,MW11:10AM - 12:00PMANDTR11:10AM - 12:25PM,01/14/13 - 04/29/13,"Oraby, E",10,CLOSED,ARAB
174,,Beginning Arabic II,4.00,21115,,01/14/13 - 04/29/13,,11,CANCELLED,ARAB
175,MPA 302ANDGOV 325,Beginning Arabic II,4.00,26350,MW09:35AM - 10:25AMANDTR09:35AM - 10:50AM,01/14/13 - 04/29/13,"Jorgensen, C",12,OPEN,ARAB
176,MON 113ANDGELM B04,Beginning Arabic II,4.00,22097,MW11:10AM - 12:00PMANDTR11:10AM - 12:25PM,01/14/13 - 04/29/13,"Loomis, S",13,OPEN,ARAB
177,MON 452ANDMON 452,Beginning Arabic II,4.00,26351,MW11:10AM - 12:00PMANDTR11:10AM - 12:25PM,01/14/13 - 04/29/13,"Bonnah, A",14,CLOSED,ARAB
178,MON B32ANDMON 252,Beginning Arabic II,4.00,22266,MW02:20PM - 03:10PMANDTR02:20PM - 03:35PM,01/14/13 - 04/29/13,"Loomis, S",15,OPEN,ARAB
179,MON 251ANDMON 353,Beginning Arabic II,4.00,22388,MW05:00PM - 05:50PMANDTR04:45PM - 06:00PM,01/14/13 - 04/29/13,"El-Hefnawy, D; Tobkin, J",16,OPEN,ARAB
180,MON 251ANDMON 450,Beginning Arabic II,4.00,22512,MW09:35AM - 10:25AMANDTR09:35AM - 10:50AM,01/14/13 - 04/29/13,"Loomis, S",17,CLOSED,ARAB
181,MON 450ANDGELM 402,Beginning Arabic II,4.00,24341,MW12:45PM - 01:35PMANDTR12:45PM - 02:00PM,01/14/13 - 04/29/13,"Kassab, M",18,CLOSED,ARAB
182,,Beginning Arabic II,4.00,23850,,01/14/13 - 04/29/13,,19,CANCELLED,ARAB
183,MPA 305ANDMON 452,Beginning Arabic II,4.00,26352,MW12:45PM - 01:35PMANDTR12:45PM - 02:00PM,01/14/13 - 04/29/13,"Jorgensen, C",20,OPEN,ARAB
