,BLDG/RM,COURSE,CREDIT,CRN,DAY/TIME,FROM / TO,INSTR.,SECT,STATUS,SUBJ
1706,FNGR 221,Thermodynamics,3.00,21666,TR12:45PM - 02:00PM,01/14/13 - 04/29/13,"Snyder, M",10,OPEN,"MAE
"
1707,DUQUES 360,History&Impact;/US PatentSystem,3.00,24278,TR03:45PM - 05:00PM,01/14/13 - 04/29/13,"Garris, C",10,OPEN,"MAE
"
1708,FNGR 221,Methods of Engr Experiments,3.00,26889,M06:10PM - 08:40PM,01/14/13 - 04/29/13,"Bardet, P",10,CLOSED,"MAE
"
1709,TOMP 204,Biomechanics I,3.00,25015,M03:30PM - 06:00PM,01/14/13 - 04/29/13,"Li, J",10,OPEN,"MAE
"
1710,GELM B02,Linear System Dynamics,3.00,21552,F12:45PM - 03:15PM,01/14/13 - 04/29/13,"Wickenheiser, A",10,CLOSED,"MAE
"
1711,BELL 108,Recitation,0.00,23894,W11:10AM - 12:00PM,01/14/13 - 04/29/13,"Blower, C",30,CLOSED,"MAE
"
1712,2020 K 13,Aerodynamics,3.00,21553,MT04:45PM - 06:00PM,01/14/13 - 04/29/13,"Busby, M",10,CLOSED,"MAE
"
1713,2020 K 10,Aerospace Structures,3.00,22555,R03:30PM - 06:00PM,01/14/13 - 04/29/13,"Krafchak, T",10,CLOSED,"MAE
"
1714,GELM B02,Heat Transfer,3.00,20297,TR11:10AM - 12:25PM,01/14/13 - 04/29/13,"Sarkar, K",10,CLOSED,"MAE
"
1715,COR 111,Mechanical Design,3.00,20298,MW12:30PM - 01:45PM,01/14/13 - 04/29/13,"Yang, Z",10,CLOSED,"MAE
"
1716,TOMP 410,Computr-Aided Design-Mech Syst,3.00,20299,M07:10PM - 09:40PM,01/14/13 - 04/29/13,"Blanton, N",10,OPEN,"MAE
"
